"Participant.Private.ID","Display","Response","Correct","Spreadsheet..sent","Spreadsheet..sent_1","Spreadsheet..word_1","Spreadsheet..card_1","Spreadsheet..card_2","Spreadsheet..corr_1","Spreadsheet..cons","Spreadsheet..vowel","Spreadsheet..target"
14533455,"Trials_blk2","audio started",0,"Pat had a toad that said ___","ke_50_sent.mp3","ke_50_word.mp3","keb","kep","kep","k","e",1
14533455,"Trials_blk2","audio finished",0,"Pat had a toad that said ___","ke_50_sent.mp3","ke_50_word.mp3","keb","kep","kep","k","e",1
14533455,"Trials_blk2","audio started",0,"Pat had a toad that said ___","ke_50_sent.mp3","ke_50_word.mp3","keb","kep","kep","k","e",1
14533455,"Trials_blk2","audio finished",0,"Pat had a toad that said ___","ke_50_sent.mp3","ke_50_word.mp3","keb","kep","kep","k","e",1
14533455,"Trials_blk2","audio started",0,"Pat had a toad that said ___","ke_50_sent.mp3","ke_50_word.mp3","keb","kep","kep","k","e",1
14533455,"Trials_blk2","audio finished",0,"Pat had a toad that said ___","ke_50_sent.mp3","ke_50_word.mp3","keb","kep","kep","k","e",1
14533455,"Trials_blk2","audio started",0,"Pat had a toad that said ___","ke_50_sent.mp3","ke_50_word.mp3","keb","kep","kep","k","e",1
14533455,"Trials_blk2","audio finished",0,"Pat had a toad that said ___","ke_50_sent.mp3","ke_50_word.mp3","keb","kep","kep","k","e",1
14533455,"Trials_blk2","audio started",0,"Pat had a toad that said ___","ke_50_sent.mp3","ke_50_word.mp3","keb","kep","kep","k","e",1
14533455,"Trials_blk2","audio finished",0,"Pat had a toad that said ___","ke_50_sent.mp3","ke_50_word.mp3","keb","kep","kep","k","e",1
14533455,"Trials_blk2","audio started",0,"Pat had a toad that said ___","ke_50_sent.mp3","ke_50_word.mp3","keb","kep","kep","k","e",1
14533455,"Trials_blk2","audio finished",0,"Pat had a toad that said ___","ke_50_sent.mp3","ke_50_word.mp3","keb","kep","kep","k","e",1
14533455,"Trials_blk2","kep",1,"Pat had a toad that said ___","ke_50_sent.mp3","ke_50_word.mp3","keb","kep","kep","k","e",1
14533455,"Trials_blk2","",0,"Pat had a toad that said ___","ke_50_sent.mp3","ke_50_word.mp3","keb","kep","kep","k","e",1
14533455,"Trials_blk2","audio started",1,"Pat had a toad that said ___","ke_50_sent.mp3","ke_50_word.mp3","keb","kep","kep","k","e",1
14533455,"Trials_blk2","audio finished",1,"Pat had a toad that said ___","ke_50_sent.mp3","ke_50_word.mp3","keb","kep","kep","k","e",1
14533455,"Trials_blk2","",1,"Pat had a toad that said ___","ke_50_sent.mp3","ke_50_word.mp3","keb","kep","kep","k","e",1
14533455,"Trials_blk2","audio started",0,"Kat has a tag that read ___","pi_125_sent.mp3","pi_125_word.mp3","pip","pib","pib","p","i",1
14533455,"Trials_blk2","audio finished",0,"Kat has a tag that read ___","pi_125_sent.mp3","pi_125_word.mp3","pip","pib","pib","p","i",1
14533455,"Trials_blk2","audio started",0,"Kat has a tag that read ___","pi_125_sent.mp3","pi_125_word.mp3","pip","pib","pib","p","i",1
14533455,"Trials_blk2","audio finished",0,"Kat has a tag that read ___","pi_125_sent.mp3","pi_125_word.mp3","pip","pib","pib","p","i",1
14533455,"Trials_blk2","audio started",0,"Kat has a tag that read ___","pi_125_sent.mp3","pi_125_word.mp3","pip","pib","pib","p","i",1
14533455,"Trials_blk2","audio finished",0,"Kat has a tag that read ___","pi_125_sent.mp3","pi_125_word.mp3","pip","pib","pib","p","i",1
14533455,"Trials_blk2","pip",0,"Kat has a tag that read ___","pi_125_sent.mp3","pi_125_word.mp3","pip","pib","pib","p","i",1
14533455,"Trials_blk2","",0,"Kat has a tag that read ___","pi_125_sent.mp3","pi_125_word.mp3","pip","pib","pib","p","i",1
14533455,"Trials_blk2","audio started",1,"Kat has a tag that read ___","pi_125_sent.mp3","pi_125_word.mp3","pip","pib","pib","p","i",1
14533455,"Trials_blk2","audio finished",1,"Kat has a tag that read ___","pi_125_sent.mp3","pi_125_word.mp3","pip","pib","pib","p","i",1
14533455,"Trials_blk2","",1,"Kat has a tag that read ___","pi_125_sent.mp3","pi_125_word.mp3","pip","pib","pib","p","i",1
14533455,"Trials_blk2","audio started",0,"Todd has a cat named ___","pe_125_sent.mp3","pe_125_word.mp3","pep","peb","peb","p","e",1
14533455,"Trials_blk2","audio finished",0,"Todd has a cat named ___","pe_125_sent.mp3","pe_125_word.mp3","pep","peb","peb","p","e",1
14533455,"Trials_blk2","audio started",0,"Todd has a cat named ___","pe_125_sent.mp3","pe_125_word.mp3","pep","peb","peb","p","e",1
14533455,"Trials_blk2","audio finished",0,"Todd has a cat named ___","pe_125_sent.mp3","pe_125_word.mp3","pep","peb","peb","p","e",1
14533455,"Trials_blk2","audio started",0,"Todd has a cat named ___","pe_125_sent.mp3","pe_125_word.mp3","pep","peb","peb","p","e",1
14533455,"Trials_blk2","audio finished",0,"Todd has a cat named ___","pe_125_sent.mp3","pe_125_word.mp3","pep","peb","peb","p","e",1
14533455,"Trials_blk2","audio started",0,"Todd has a cat named ___","pe_125_sent.mp3","pe_125_word.mp3","pep","peb","peb","p","e",1
14533455,"Trials_blk2","audio finished",0,"Todd has a cat named ___","pe_125_sent.mp3","pe_125_word.mp3","pep","peb","peb","p","e",1
14533455,"Trials_blk2","peb",1,"Todd has a cat named ___","pe_125_sent.mp3","pe_125_word.mp3","pep","peb","peb","p","e",1
14533455,"Trials_blk2","",0,"Todd has a cat named ___","pe_125_sent.mp3","pe_125_word.mp3","pep","peb","peb","p","e",1
14533455,"Trials_blk2","audio started",1,"Todd has a cat named ___","pe_125_sent.mp3","pe_125_word.mp3","pep","peb","peb","p","e",1
14533455,"Trials_blk2","audio finished",1,"Todd has a cat named ___","pe_125_sent.mp3","pe_125_word.mp3","pep","peb","peb","p","e",1
14533455,"Trials_blk2","",1,"Todd has a cat named ___","pe_125_sent.mp3","pe_125_word.mp3","pep","peb","peb","p","e",1
14533455,"Trials_blk2","audio started",0,"Kat has a tag that read ___","pi_25_sent.mp3","pi_25_word.mp3","pip","pib","pip","p","i",1
14533455,"Trials_blk2","audio finished",0,"Kat has a tag that read ___","pi_25_sent.mp3","pi_25_word.mp3","pip","pib","pip","p","i",1
14533455,"Trials_blk2","pib",0,"Kat has a tag that read ___","pi_25_sent.mp3","pi_25_word.mp3","pip","pib","pip","p","i",1
