sub,init,list,word,ons_poa,coda_vc,coda_poa,vowel,vot,vdur
2,DE,2,kick,3,0,3,ih,0.079,0.088
2,DE,2,tug,2,1,3,uh,0.052,0.141
2,DE,2,cub,3,1,1,uh,0.088,0.127
2,DE,2,tub,2,1,1,uh,0.077,0.125
2,DE,2,keg,3,1,3,eh,0.054,0.151
2,DE,2,tib,2,1,1,ih,0.053,0.125
2,DE,2,pat,1,0,2,ae,0.07,0.154
2,DE,2,top,2,0,1,aw,0.084,0.14
2,DE,2,cud,3,1,2,uh,0.094,0.134
2,DE,2,pap,1,0,1,ae,0.083,0.145
2,DE,2,tip,2,0,1,ih,0.083,0.087
2,DE,2,cod,3,1,2,aw,0.071,0.213
2,DE,2,pick,1,0,3,ih,0.047,0.111
2,DE,2,tot,2,0,2,aw,0.086,0.147
2,DE,2,pep,1,0,1,eh,0.07,0.102
2,DE,2,tat,2,0,2,ae,0.061,0.158
2,DE,2,cack,3,0,3,ae,0.066,0.165
2,DE,2,peg,1,1,3,eh,0.081,0.121
2,DE,2,tuck,2,0,3,uh,0.072,0.107
2,DE,2,pop,1,0,1,aw,0.059,0.14
2,DE,2,cup,3,0,1,uh,0.081,0.092
2,DE,2,tech,2,0,3,eh,0.1,0.09
2,DE,2,pad,1,1,2,ae,0.069,0.182
2,DE,2,putt,1,0,2,uh,0.054,0.091
2,DE,2,cut,3,0,2,uh,0.089,0.094
2,DE,2,todd,2,1,2,aw,0.067,0.194
2,DE,2,cot,3,0,2,aw,0.072,0.118
2,DE,2,talk,2,0,3,aw,0.074,0.136
2,DE,2,ted,2,1,2,eh,0.051,0.147
2,DE,2,tut,2,0,2,uh,0.046,0.121
2,DE,2,pug,1,1,3,uh,0.034,0.127
2,DE,2,pot,1,0,2,aw,0.073,0.119
2,DE,2,cop,3,0,1,aw,0.078,0.115
2,DE,2,pit,1,0,2,ih,0.063,0.075
2,DE,2,pod,1,1,2,aw,0.065,0.179
2,DE,2,kid,3,1,2,ih,0.09,0.122
2,DE,2,tog,2,1,3,aw,0.096,0.17
2,DE,2,tag,2,1,3,ae,0.076,0.175
2,DE,2,tack,2,0,3,ae,0.091,0.126
2,DE,2,cab,3,1,1,ae,0.085,0.176
2,DE,2,pock,1,0,3,aw,0.092,0.137
2,DE,2,tad,2,1,2,ae,0.086,0.164
2,DE,2,pub,1,1,1,uh,0.066,0.117
2,DE,2,kit,3,0,2,ih,0.079,0.097
2,DE,2,ped,1,1,2,eh,0.069,0.134
2,DE,2,cap,3,0,1,ae,0.075,0.148
2,DE,2,kip,3,0,1,ih,0.089,0.082
2,DE,2,peck,1,0,3,eh,0.044,0.107
2,DE,2,pet,1,0,2,eh,0.089,0.081
2,DE,2,tab,2,1,1,ae,0.065,0.168
2,DE,2,pog,1,1,3,aw,0.064,0.167
