sub,init,list,word,ons_poa,coda_vc,coda_poa,vowel,vot,vdur
5,JE,2,cop,3,0,1,aw,0.108,0.137
5,JE,2,pit,1,0,2,ih,0.094,0.085
5,JE,2,pod,1,1,2,aw,0.095,0.198
5,JE,2,kid,3,1,2,ih,0.084,0.117
5,JE,2,tog,2,1,3,aw,0.096,0.173
5,JE,2,tag,2,1,3,ae,0.094,0.189
5,JE,2,tack,2,0,3,ae,0.094,0.164
5,JE,2,cab,3,1,1,ae,0.102,0.195
5,JE,2,pock,1,0,3,aw,0.086,0.138
5,JE,2,tad,2,1,2,ae,0.097,0.226
5,JE,2,pub,1,1,1,uh,0.088,0.126
5,JE,2,kit,3,0,2,ih,0.075,0.076
5,JE,2,ped,1,1,2,eh,0.093,0.128
5,JE,2,cap,3,0,1,ae,0.074,0.166
5,JE,2,kip,3,0,1,ih,0.081,0.081
5,JE,2,peck,1,0,3,eh,0.091,0.088
5,JE,2,pet,1,0,2,eh,0.094,0.093
5,JE,2,tab,2,1,1,ae,0.097,0.202
5,JE,2,pog,1,1,3,aw,0.078,0.191
5,JE,2,tap,2,0,1,ae,0.098,0.146
5,JE,2,cad,3,1,2,ae,0.093,0.196
5,JE,2,cob,3,1,1,aw,0.096,0.178
6,AF,1,pack,1,0,3,ae,0.05,0.139
6,AF,1,pup,1,0,1,uh,0.044,0.091
6,AF,1,cat,3,0,2,ae,0.064,0.148
6,AF,1,tup,2,0,1,uh,0.067,0.102
6,AF,1,cog,3,1,3,aw,0.081,0.215
6,AF,1,puck,1,0,3,uh,0.047,0.092
6,AF,1,pig,1,1,3,ih,0.052,0.128
6,AF,1,kick,3,0,3,ih,0.053,0.077
6,AF,1,tug,2,1,3,uh,0.065,0.162
6,AF,1,cub,3,1,1,uh,0.078,0.127
6,AF,1,tub,2,1,1,uh,0.082,0.128
6,AF,1,keg,3,1,3,eh,0.082,0.183
6,AF,1,tib,2,1,1,ih,0.07,0.111
6,AF,1,pat,1,0,2,ae,0.065,0.093
6,AF,1,top,2,0,1,aw,0.063,0.092
6,AF,1,cud,3,1,2,uh,0.051,0.164
6,AF,1,pap,1,0,1,ae,0.047,0.102
6,AF,1,tip,2,0,1,ih,0.045,0.038
6,AF,1,cod,3,1,2,aw,0.084,0.243
