Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Manipulation: Randomise questionnaire elements?,Question Key,Response
1,1758037699712,16/09/2025 15:48:19,1758037697648,-4,16/09/2025 11:48:17,237477,8,questionnaire-nxtc,,49226299,nvubn14h,14090662,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 140.0.0.0,2240x1260,2240x1138,,,,Consent form,2,No,BEGIN QUESTIONNAIRE,
2,1758037715718,16/09/2025 15:48:35,1758037713680,-4,16/09/2025 11:48:33,237477,8,questionnaire-nxtc,,49226299,nvubn14h,14090662,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 140.0.0.0,2240x1260,2240x1138,,,,Consent form,2,No,consent,1
3,1758037715836,16/09/2025 15:48:35,1758037713681,-4,16/09/2025 11:48:33,237477,8,questionnaire-nxtc,,49226299,nvubn14h,14090662,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 140.0.0.0,2240x1260,2240x1138,,,,Consent form,2,No,END QUESTIONNAIRE,16033
1,1758034687016,16/09/2025 14:58:07,1758034684854,-4,16/09/2025 10:58:04,237477,8,questionnaire-nxtc,,49224821,44mdag51,14090119,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 140.0.0.0,2240x1260,2240x1138,,,,Consent form,2,No,BEGIN QUESTIONNAIRE,
2,1758034739159,16/09/2025 14:58:59,1758034737032,-4,16/09/2025 10:58:57,237477,8,questionnaire-nxtc,,49224821,44mdag51,14090119,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 140.0.0.0,2240x1260,2240x1138,,,,Consent form,2,No,consent,1
3,1758034739266,16/09/2025 14:58:59,1758034737034,-4,16/09/2025 10:58:57,237477,8,questionnaire-nxtc,,49224821,44mdag51,14090119,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 140.0.0.0,2240x1260,2240x1138,,,,Consent form,2,No,END QUESTIONNAIRE,52180
1,1757962864533,15/09/2025 19:01:04,1757962864345,-4,15/09/2025 15:01:04,237477,8,questionnaire-nxtc,,49212684,2nbbqdqw,14085713,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 123.0.0.0,2240x1260,1825x1041,,,,Consent form,2,No,BEGIN QUESTIONNAIRE,
2,1757962890816,15/09/2025 19:01:30,1757962890643,-4,15/09/2025 15:01:30,237477,8,questionnaire-nxtc,,49212684,2nbbqdqw,14085713,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 123.0.0.0,2240x1260,1825x1041,,,,Consent form,2,No,consent,1
3,1757962890937,15/09/2025 19:01:30,1757962890645,-4,15/09/2025 15:01:30,237477,8,questionnaire-nxtc,,49212684,2nbbqdqw,14085713,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 123.0.0.0,2240x1260,1825x1041,,,,Consent form,2,No,END QUESTIONNAIRE,26300
1,1758809221621,25/09/2025 14:07:01,1758809221480,-4,25/09/2025 10:07:01,237477,9,questionnaire-nxtc,,49421567,0779av7y,14141017,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 140.0.0.0,2240x1260,2240x1138,,,,Consent form,2,No,BEGIN QUESTIONNAIRE,
2,1758809237574,25/09/2025 14:07:17,1758809237472,-4,25/09/2025 10:07:17,237477,9,questionnaire-nxtc,,49421567,0779av7y,14141017,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 140.0.0.0,2240x1260,2240x1138,,,,Consent form,2,No,consent,1
3,1758809237704,25/09/2025 14:07:17,1758809237474,-4,25/09/2025 10:07:17,237477,9,questionnaire-nxtc,,49421567,0779av7y,14141017,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 140.0.0.0,2240x1260,2240x1138,,,,Consent form,2,No,END QUESTIONNAIRE,15994
